title,url,published,document_type,organisations,evaluation_type,method_signal
Improving outcomes through legal support grant: interim evaluation report,https://www.gov.uk/government/publications/improving-outcomes-through-legal-support-grant-interim-evaluation-report,2026-05-26T09:00:01Z,research,Ministry of Justice,impact,unstated
HMRC Cultural Tax Relief Evaluation,https://www.gov.uk/government/publications/hmrc-cultural-tax-relief-evaluation,2026-05-21T08:30:02Z,research,HM Revenue & Customs,economic,unstated
WorkWell Pilots Evaluation Early Implementation Findings,https://www.gov.uk/government/publications/workwell-pilots-evaluation-early-implementation-findings,2026-05-21T08:30:02Z,research,Department for Work and Pensions; Department of Health and Social Care; Government Social Research Profession,process,unstated
Process evaluation of Combating Drugs Partnerships,https://www.gov.uk/government/publications/process-evaluation-of-combating-drugs-partnerships,2026-05-20T08:30:02Z,research,Home Office,process,unstated
Regulators' Pioneer Fund round 3: evaluation report and case studies,https://www.gov.uk/government/publications/regulators-pioneer-fund-round-3-evaluation-report-and-case-studies,2026-05-20T08:30:02Z,research,"Department for Science, Innovation and Technology; Regulatory Innovation Office",mixed,unstated
A qualitative process evaluation of a pilot of supervision for prison officers,https://www.gov.uk/government/publications/a-qualitative-process-evaluation-of-a-pilot-of-supervision-for-prison-officers,2026-05-14T09:15:01Z,research,HM Prison and Probation Service,process,qualitative
HIV Action Plan monitoring and evaluation framework,https://www.gov.uk/government/publications/hiv-action-plan-monitoring-and-evaluation-framework,2026-05-14T08:30:04Z,research,UK Health Security Agency,process,survey_monitoring
5G Innovation Regions programme and Smart Infrastructure Pilots Programme: evaluation reports,https://www.gov.uk/government/publications/5g-innovation-regions-programme-and-smart-infrastructure-pilots-programme-evaluation-reports,2026-05-13T08:27:00Z,research,"Department for Science, Innovation and Technology",impact,unstated
Accompanied Established Long-Term Relationships Overseas Pilot Evaluation,https://www.gov.uk/government/publications/accompanied-established-long-term-relationships-overseas-pilot-evaluation,2026-05-11T08:00:02Z,research,Ministry of Defence,feasibility,unstated
Evaluation of the Enhanced Support for Jurors Pilot,https://www.gov.uk/government/publications/evaluation-of-the-enhanced-support-for-jurors-pilot,2026-05-08T08:00:02Z,research,HM Courts & Tribunals Service,impact,unstated
Newton Fund Impact Evaluation,https://www.gov.uk/government/publications/newton-fund-impact-evaluation,2026-05-06T08:30:01Z,research,"Department for Science, Innovation and Technology",impact,unstated
Further education targeted retention incentive evaluation: interim report,https://www.gov.uk/government/publications/further-education-targeted-retention-incentive-evaluation-interim-report,2026-04-30T15:00:02Z,research,Department for Education,impact,theory_based
"Evaluation of the Warm Home Discount scheme, 2022 to 2024",https://www.gov.uk/government/publications/evaluation-of-the-warm-home-discount-scheme-2022-to-2024,2026-04-30T12:25:00Z,research,Department for Energy Security and Net Zero,impact,unstated
Evaluation of the Create Growth Programme (CGP) 2022 to 2024,https://www.gov.uk/government/publications/evaluation-of-the-create-growth-programme-cgp-2022-to-2024,2026-04-23T14:47:34Z,research,"Department for Culture, Media and Sport",mixed,unstated
Apply for PIP Digital Self-Serve: Process and Impact Evaluation Findings,https://www.gov.uk/government/publications/apply-for-pip-digital-self-serve-process-and-impact-evaluation-findings,2026-04-22T13:16:42Z,research,Department for Work and Pensions,mixed,unstated
Cambridge Community Arts (CCA) Evaluation Report,https://www.gov.uk/government/publications/cambridge-community-arts-cca-evaluation-report,2026-04-15T13:38:24Z,research,"Department for Culture, Media and Sport",impact,unstated
Final overarching evaluation of the Know Your Neighbourhood Fund,https://www.gov.uk/government/publications/final-overarching-evaluation-of-the-know-your-neighbourhood-fund,2026-04-15T13:37:00Z,research,"Department for Culture, Media and Sport",mixed,unstated
Emmaus North East (NE) Evaluation Report,https://www.gov.uk/government/publications/emmaus-north-east-ne-evaluation-report,2026-04-15T13:36:39Z,research,"Department for Culture, Media and Sport",impact,quasi_experimental
Evaluation of the Medicines and Diagnostics Manufacturing Transformation Fund and the Life Sciences Innovative Manufacturing Fund,https://www.gov.uk/government/publications/evaluation-of-the-medicines-and-diagnostics-manufacturing-transformation-fund-and-the-life-sciences-innovative-manufacturing-fund,2026-04-13T23:01:02Z,research,"Department for Science, Innovation and Technology; Office for Life Sciences",feasibility,unstated
Serious Violence Reduction Orders independent evaluation report,https://www.gov.uk/government/publications/serious-violence-reduction-orders-independent-evaluation-report,2026-04-10T08:30:02Z,research,Home Office,impact,unstated
Evaluation of flexi-permit trials,https://www.gov.uk/government/publications/evaluation-of-flexi-permit-trials,2026-04-09T14:55:52Z,research,"Department for Science, Innovation and Technology",feasibility,unstated
Violence Reduction Units year ending March 2025 evaluation report,https://www.gov.uk/government/publications/violence-reduction-units-year-ending-march-2025-evaluation-report,2026-04-02T08:30:06Z,research,Home Office,impact,unstated
Smart metering roll-out: evaluation,https://www.gov.uk/government/publications/smart-metering-roll-out-evaluation,2026-04-02T08:00:06Z,research,Department for Energy Security and Net Zero,impact,unstated
Apply for PIP Digital Self-Serve: Evaluation Summary ,https://www.gov.uk/government/publications/apply-for-pip-digital-self-serve-evaluation-summary,2026-04-01T14:21:13Z,research,Department for Work and Pensions,unclear,unstated
Health Transformation Programme evaluation strategy 2023,https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy,2026-04-01T13:05:57Z,research,Department for Work and Pensions; Government Social Research Profession,unclear,unstated
Supported internship programme: evaluation of investment,https://www.gov.uk/government/publications/supported-internship-programme-evaluation-of-investment,2026-03-27T09:30:02Z,research,Department for Education,economic,unstated
Evaluation of the National Digital Support Service,https://www.gov.uk/government/publications/evaluation-of-the-national-digital-support-service,2026-03-26T10:30:12Z,research,HM Courts & Tribunals Service; Ministry of Justice,process,unstated
HMCTS reform evaluation thematic report: digitalisation,https://www.gov.uk/government/publications/hmcts-reform-evaluation-thematic-report-digitalisation,2026-03-26T10:00:02Z,research,Ministry of Justice,process,unstated
Evaluating local authority major schemes,https://www.gov.uk/government/publications/evaluating-local-authority-major-schemes,2026-03-26T10:00:02Z,research,Department for Transport,evidence_synthesis,unstated
Probate reform evaluation data summary,https://www.gov.uk/government/publications/probate-reform-evaluation-data-summary,2026-03-26T10:00:00Z,research,Ministry of Justice; HM Courts & Tribunals Service,process,unstated
Health Transformation Programme Evaluation and Monitoring Strategy 2026,https://www.gov.uk/government/publications/health-transformation-programme-evaluation-and-monitoring-strategy-2026,2026-03-26T09:30:08Z,research,Department for Work and Pensions,feasibility,unstated
Evaluation of virtual school heads (VSHs) and pupil premium,https://www.gov.uk/government/publications/evaluation-of-the-virtual-school-heads-extension-and-the-pupil-premium-plus-post-16-pilot,2026-03-24T16:00:10Z,research,Department for Education,impact,unstated
Consumer Advice and Information programme: evaluation,https://www.gov.uk/government/publications/consumer-advice-and-information-programme-evaluation,2026-03-11T13:30:03Z,research,Department for Energy Security and Net Zero,economic,unstated
Evaluation of the NI Cyber AI Hub programme,https://www.gov.uk/government/publications/evaluation-of-the-ni-cyber-ai-hub-programme,2026-03-11T10:32:26Z,research,"Department for Science, Innovation and Technology",process,unstated
Transforming Public Services: Key findings from the evaluation of the Life Chances Fund,https://www.gov.uk/government/publications/transforming-public-services-key-findings-from-the-evaluation-of-the-life-chances-fund,2026-03-05T15:00:02Z,research,"Department for Culture, Media and Sport",impact,unstated
English Hubs Programme phonics impact evaluation 2019 to 2025,https://www.gov.uk/government/publications/english-hubs-programme-phonics-impact-evaluation-2019-to-2025,2026-02-26T16:00:04Z,research,Department for Education,impact,quasi_experimental
Modular acceleration programme: process evaluation interim report,https://www.gov.uk/government/publications/modular-acceleration-programme-process-evaluation-interim-report,2026-02-26T16:00:03Z,research,Department for Education,process,qualitative
Using mobile phone data when evaluating electric vehicle usage,https://www.gov.uk/government/publications/using-mobile-phone-data-when-evaluating-electric-vehicle-usage,2026-02-26T09:30:08Z,research,Department for Transport,feasibility,unstated
Advanced Propulsion Centre (APC): impact evaluation,https://www.gov.uk/government/publications/advanced-propulsion-centre-apc-impact-evaluation,2026-02-26T09:30:05Z,research,Department for Business and Trade,impact,unstated
Automotive Transformation Fund (ATF): evaluation framework,https://www.gov.uk/government/publications/automotive-transformation-fund-atf-evaluation-framework,2026-02-26T09:30:05Z,independent_report,Department for Business and Trade,mixed,unstated
Automotive Transformation Fund (ATF): process evaluation,https://www.gov.uk/government/publications/automotive-transformation-fund-atf-process-evaluation,2026-02-26T09:30:05Z,independent_report,Department for Business and Trade,process,unstated
Aerospace Technology Institute programme: impact evaluation,https://www.gov.uk/government/publications/aerospace-technology-institute-programme-impact-evaluation,2026-02-26T09:30:04Z,research,Department for Business and Trade,impact,unstated
National Citizen Service Evaluation 2023 to 2025,https://www.gov.uk/government/publications/national-citizen-service-evaluation-2023-to-2025,2026-02-13T09:00:00Z,research,"Department for Culture, Media and Sport",impact,unstated
Turnaround Programme independent process and implementation evaluation: final report,https://www.gov.uk/government/publications/turnaround-programme-independent-process-and-implementation-evaluation-final-report,2026-02-12T12:10:52Z,independent_report,Ministry of Justice,process,unstated
Commissioned Rehabilitative Services evaluation,https://www.gov.uk/government/publications/commissioned-rehabilitative-services-evaluation,2026-02-12T10:00:00Z,research,Ministry of Justice,process,unstated
Connect the classroom: evaluation,https://www.gov.uk/government/publications/connect-the-classroom-evaluation,2026-02-11T09:15:00Z,research,Department for Education,impact,unstated
RISE targeted intervention: interim process evaluation report,https://www.gov.uk/government/publications/rise-targeted-intervention-interim-process-evaluation-report,2026-02-09T17:00:02Z,research,Department for Education,process,unstated
Music hubs evaluation: interim report,https://www.gov.uk/government/publications/music-hubs-evaluation-interim-report,2026-02-06T16:30:48Z,research,Department for Education,impact,unstated
