title,url,published,document_type,organisations,evaluation_type,method_signal
Evaluating export promotion activities using econometrics,https://www.gov.uk/government/publications/evaluating-export-promotion-activities-using-econometrics,2023-10-04T13:29:24Z,research,Department for Business and Trade; Department for International Trade,economic,economic_model
Shared Ownership and Affordable Homes Programme (SOAHP) evaluation report,https://www.gov.uk/government/publications/shared-ownership-and-affordable-homes-programme-soahp-evaluation-report,2023-09-22T08:00:04Z,research,Homes England,impact,unstated
tCCM Evaluation Qualitative Research,https://www.gov.uk/government/publications/tccm-evaluation-qualitative-research,2023-09-21T08:30:00Z,research,HM Revenue & Customs,process,qualitative
BDUK Vouchers Evaluation: Impacts and Value for Money Assessment,https://www.gov.uk/government/publications/bduk-vouchers-evaluation-impacts-and-value-for-money-assessment,2023-09-20T17:00:19Z,research,"Building Digital UK; Department for Science, Innovation and Technology",mixed,survey_monitoring
Skills accelerator pilot evaluation,https://www.gov.uk/government/publications/skills-accelerator-pilot-evaluation,2023-09-19T09:35:00Z,research,Department for Education,impact,unstated
Electoral Integrity Programme evaluation plan: Year 1,https://www.gov.uk/government/publications/electoral-integrity-programme-evaluation-plan-year-1,2023-09-13T07:00:00Z,research,"Department for Levelling Up, Housing and Communities ",feasibility,unstated
Evaluation of Electoral Integrity Programme: public opinion research,https://www.gov.uk/government/publications/evaluation-of-electoral-integrity-programme-public-opinion-research,2023-09-13T07:00:00Z,research,"Department for Levelling Up, Housing and Communities ",impact,survey_monitoring
Evaluation of DSIT grant funding for Tech Nation April 2020 to March 2023,https://www.gov.uk/government/publications/evaluation-of-dsit-grant-funding-for-tech-nation-april-2020-to-march-2023,2023-09-07T12:31:13Z,research,"Department for Science, Innovation and Technology",economic,unstated
Offender Accommodation Pilot: Process evaluation report,https://www.gov.uk/government/publications/offender-accommodation-pilot-process-evaluation-report,2023-09-07T09:00:02Z,research,Ministry of Justice,process,unstated
Process evaluation of the drug recovery prison at HMP Holme House,https://www.gov.uk/government/publications/process-evaluation-of-the-drug-recovery-prison-at-hmp-holme-house,2023-09-07T09:00:02Z,research,Ministry of Justice,process,unstated
16 to 19 tuition fund: implementation and process evaluation report,https://www.gov.uk/government/publications/16-to-19-tuition-fund-implementation-and-process-evaluation-report,2023-09-01T11:42:03Z,research,Department for Education,process,unstated
Life Chances Fund interim evaluation data set,https://www.gov.uk/government/publications/life-chances-fund-interim-evaluation-data-set,2023-08-31T14:00:02Z,research,"Department for Culture, Media and Sport",impact,survey_monitoring
Life Chances Fund Second Stage Evaluation Report: Kirklees,https://www.gov.uk/government/publications/life-chances-fund-second-stage-evaluation-report-kirklees,2023-08-31T14:00:00Z,research,"Department for Culture, Media and Sport",impact,unstated
Interim evaluation of 5G Testbeds and Trials Programme,https://www.gov.uk/government/publications/interim-evaluation-of-5g-testbeds-and-trials-programme,2023-08-11T11:09:23Z,research,"Department for Science, Innovation and Technology",feasibility,unstated
Fix Your Bike voucher scheme evaluation,https://www.gov.uk/government/publications/fix-your-bike-voucher-scheme-evaluation,2023-08-11T08:30:10Z,research,Department for Transport,impact,unstated
Evaluation of the Cyber Runway programme,https://www.gov.uk/government/publications/evaluation-of-the-cyber-runway-programme,2023-08-04T16:08:02Z,research,"Department for Science, Innovation and Technology",impact,unstated
Evaluation of the Cyber Security Academic Startup Accelerator,https://www.gov.uk/government/publications/evaluation-of-the-cyber-security-academic-startup-accelerator,2023-08-04T16:03:57Z,research,"Department for Science, Innovation and Technology",impact,unstated
Evaluating the Support for Migrant Victims (SMV) Pilot,https://www.gov.uk/government/publications/evaluating-the-support-for-migrant-victims-smv-pilot,2023-08-04T08:30:00Z,research,Home Office,impact,unstated
Evaluation of the UKC3 programme 2022,https://www.gov.uk/government/publications/evaluation-of-the-ukc3-programme,2023-08-03T23:00:00Z,research,"Department for Science, Innovation and Technology",impact,unstated
Respite Rooms pilot programme evaluation: final report,https://www.gov.uk/government/publications/respite-rooms-pilot-programme-evaluation-final-report,2023-07-31T14:09:30Z,research,"Department for Levelling Up, Housing and Communities ",impact,unstated
Kickstart Scheme: process evaluation,https://www.gov.uk/government/publications/kickstart-scheme-process-evaluation,2023-07-21T09:09:32Z,research,Department for Work and Pensions,process,unstated
Evaluation of the care leavers social impact bond programme,https://www.gov.uk/government/publications/evaluation-of-the-care-leavers-social-impact-bond-programme,2023-07-20T16:00:13Z,research,Department for Education,impact,unstated
HMCTS Reform Evaluation: Rapid Evidence Assessments,https://www.gov.uk/government/publications/hmcts-reform-evaluation-rapid-evidence-assessments,2023-07-20T09:00:00Z,research,Ministry of Justice,evidence_synthesis,unstated
The Self-Employment Income Support Scheme final evaluation,https://www.gov.uk/government/publications/the-self-employment-income-support-scheme-final-evaluation,2023-07-17T13:53:00Z,research,HM Revenue & Customs; HM Treasury,impact,unstated
The Coronavirus Job Retention Scheme final evaluation,https://www.gov.uk/government/publications/the-coronavirus-job-retention-scheme-final-evaluation,2023-07-17T13:52:00Z,research,HM Revenue & Customs; HM Treasury,impact,unstated
Evaluation of the Trade Credit Reinsurance (TCR) scheme,https://www.gov.uk/government/publications/evaluation-of-the-trade-credit-reinsurance-tcr-scheme,2023-07-12T11:00:51Z,research,"Department for Business and Trade; Department for Business, Energy & Industrial Strategy",mixed,unstated
Reforms to the Domestic Renewable Heat Incentive: evaluation,https://www.gov.uk/government/publications/reforms-to-the-domestic-renewable-heat-incentive-evaluation,2023-07-06T08:00:01Z,research,Department for Energy Security and Net Zero,impact,unstated
Reforms to the Non-Domestic Renewable Heat Incentive: evaluation,https://www.gov.uk/government/publications/reforms-to-the-non-domestic-renewable-heat-incentive-evaluation,2023-07-06T08:00:01Z,research,Department for Energy Security and Net Zero,impact,unstated
Evaluation of the growth hubs: 2015 to 2020,https://www.gov.uk/government/publications/evaluation-of-the-growth-hubs-2015-to-2020,2023-07-05T23:00:00Z,research,"Department for Business and Trade; Department for Business, Energy & Industrial Strategy",impact,unstated
"Carbon capture, usage and storage (CCUS) Track-1 cluster sequencing: evaluation",https://www.gov.uk/government/publications/carbon-capture-usage-and-storage-ccus-track-1-cluster-sequencing-evaluation,2023-07-05T10:05:25Z,research,Department for Energy Security and Net Zero,process,unstated
Shared Parental Leave (SPL) evaluation,https://www.gov.uk/government/publications/shared-parental-leave-spl-evaluation,2023-07-04T11:40:23Z,research,Department for Business and Trade,impact,unstated
DIT Music Export Growth Scheme (MEGS): evaluation,https://www.gov.uk/government/publications/dit-music-export-growth-scheme-megs-evaluation,2023-07-03T23:00:00Z,research,Department for Business and Trade; Department for International Trade,economic,unstated
Community Champions research and evaluation reports,https://www.gov.uk/government/publications/community-champions-research-and-evaluation-reports,2023-07-03T10:00:06Z,research,"Department for Levelling Up, Housing and Communities ",mixed,unstated
Evaluation of the Great Western Route Modernisation,https://www.gov.uk/government/publications/evaluation-of-the-great-western-route-modernisation,2023-06-29T09:00:11Z,research,Department for Transport,impact,unstated
Evaluation of the flexible season rail ticket,https://www.gov.uk/government/publications/evaluation-of-the-flexible-season-rail-ticket,2023-06-29T09:00:00Z,research,Department for Transport,impact,unstated
Non-Domestic Smart Energy Management Innovation Competition (NDSEMIC): evaluation findings,https://www.gov.uk/government/publications/non-domestic-smart-energy-management-innovation-competition-ndsemic-evaluation-findings,2023-06-23T15:01:31Z,research,"Department for Energy Security and Net Zero; Department for Business, Energy & Industrial Strategy",impact,unstated
Cyber Essentials scheme process evaluation,https://www.gov.uk/government/publications/cyber-essentials-scheme-process-evaluation,2023-06-22T13:03:00Z,research,"Department for Science, Innovation and Technology",process,unstated
Levelling Up Fund: Impact evaluation scoping report,https://www.gov.uk/government/publications/levelling-up-fund-impact-evaluation-scoping-report,2023-06-19T10:08:41Z,research,"Department for Levelling Up, Housing and Communities ",feasibility,unstated
Process evaluation of the Pre-Sentence Report Pilot,https://www.gov.uk/government/publications/process-evaluation-of-the-pre-sentence-report-pilot,2023-06-15T09:00:11Z,research,Ministry of Justice,process,unstated
Evaluation of Integrated Advice Hubs in Primary Healthcare Settings,https://www.gov.uk/government/publications/evaluation-of-integrated-advice-hubs-in-primary-healthcare-settings,2023-06-15T09:00:11Z,research,Ministry of Justice,feasibility,unstated
Smart Energy Savings (SENS) Competition: evaluation,https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation,2023-06-09T12:00:02Z,research,Department for Energy Security and Net Zero,impact,unstated
Zero emission bus regional areas scheme: interim evaluation,https://www.gov.uk/government/publications/zero-emission-bus-regional-areas-scheme-interim-evaluation,2023-06-07T09:00:00Z,research,Department for Transport,process,unstated
Tampon Tax Fund evaluation,https://www.gov.uk/government/publications/tampon-tax-fund-evaluation,2023-06-06T08:00:06Z,research,"Department for Culture, Media and Sport",mixed,unstated
Share Schemes Evaluation,https://www.gov.uk/government/publications/share-schemes-evaluation,2023-06-05T08:30:00Z,research,HM Revenue & Customs,economic,unstated
Place Based Social Action: Phase 2 evaluation report,https://www.gov.uk/government/publications/place-based-social-action-phase-2-evaluation-report,2023-06-01T11:00:03Z,research,"Department for Culture, Media and Sport",impact,unstated
Evaluation of the Children of Alcohol Dependent Parents programme innovation fund,https://www.gov.uk/government/publications/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund,2023-06-01T08:30:02Z,independent_report,Department of Health and Social Care,impact,unstated
Evaluating the impact of the 2017 Stamp Duty Land Tax First Time Buyers’ Relief,https://www.gov.uk/government/publications/evaluating-the-impact-of-the-2017-stamp-duty-land-tax-first-time-buyers-relief,2023-05-30T23:01:03Z,research,HM Revenue & Customs,impact,unstated
Cyber Explorers pilot evaluation,https://www.gov.uk/government/publications/cyber-explorers-pilot-evaluation,2023-05-18T14:00:19Z,research,"Department for Science, Innovation and Technology",process,unstated
Upskill in Cyber pilot evaluation,https://www.gov.uk/government/publications/upskill-in-cyber-pilot-evaluation,2023-05-18T13:59:22Z,research,"Department for Science, Innovation and Technology",process,unstated
Longer semi-trailer trial evaluation: annual report 2021,https://www.gov.uk/government/publications/longer-semi-trailer-trial-evaluation-annual-report-2021,2023-05-17T11:45:01Z,research,Department for Transport,impact,unstated
Grassroots sport facilities investment: evaluating the impact,https://www.gov.uk/government/publications/grassroots-sport-facilities-investment-evaluating-the-impact,2023-05-11T09:53:29Z,research,"Department for Culture, Media and Sport",feasibility,unstated
Reducing Reoffending Package Process Evaluation,https://www.gov.uk/government/publications/reducing-reoffending-package-process-evaluation,2023-05-11T09:00:00Z,research,Ministry of Justice,process,unstated
Help to Grow: Management – quarterly evaluation reports,https://www.gov.uk/government/publications/help-to-grow-management-quarterly-evaluation-reports,2023-05-08T23:00:00Z,research,Department for Business and Trade,impact,survey_monitoring
Monitoring and evaluating the new pro-competition regime for digital markets,https://www.gov.uk/government/publications/monitoring-and-evaluating-the-new-pro-competition-regime-for-digital-markets,2023-05-03T23:00:00Z,research,"Department for Science, Innovation and Technology; Department for Business and Trade",process,unstated
COVID-19: NHS workforce repeat asymptomatic testing evaluation,https://www.gov.uk/government/publications/covid-19-nhs-workforce-repeat-asymptomatic-testing-evaluation,2023-04-27T08:30:09Z,research,UK Health Security Agency,impact,unstated
Enhanced case management evaluation: phase one report,https://www.gov.uk/government/publications/enhanced-case-management-evaluation-phase-one-report,2023-04-25T23:00:00Z,research,Youth Justice Board for England and Wales,process,unstated
Sector Sustainability Grant Evaluation,https://www.gov.uk/government/publications/sector-sustainability-grant-evaluation,2023-04-24T12:48:04Z,research,Ministry of Justice,impact,unstated
Evaluating the Building Better Relationships programme: Feasibility study for an impact evaluation of proven reoffending,https://www.gov.uk/government/publications/evaluating-the-building-better-relationships-programme-feasibility-study-for-an-impact-evaluation-of-proven-reoffending,2023-04-20T09:00:00Z,research,Ministry of Justice,feasibility,unstated
Health-led Employment Trials Evaluation,https://www.gov.uk/government/publications/health-led-employment-trials-evaluation,2023-04-20T08:30:05Z,research,Department for Work and Pensions,impact,unstated
Reducing Parental Conflict Programme Evaluation: Third report on implementation,https://www.gov.uk/government/publications/reducing-parental-conflict-programme-evaluation-third-report-on-implementation,2023-04-17T11:51:48Z,research,Department for Work and Pensions,process,unstated
Reducing Parental Conflict Programme evaluation: second report on implementation,https://www.gov.uk/government/publications/reducing-parental-conflict-programme-evaluation-second-report-on-implementation,2023-04-17T11:51:05Z,research,Department for Work and Pensions,process,unstated
Reducing Parental Conflict programme evaluation: report on early implementation,https://www.gov.uk/government/publications/reducing-parental-conflict-programme-evaluation-report-on-early-implementation,2023-04-17T11:49:36Z,research,Department for Work and Pensions,process,unstated
Evaluation of the Modern Electoral Registration Programme: 2021 report,https://www.gov.uk/government/publications/evaluation-of-the-modern-electoral-registration-programme-2021-report,2023-04-11T11:42:58Z,research,"Department for Levelling Up, Housing and Communities ; Cabinet Office",process,unstated
Evaluation of the Modern Electoral Registration Programme: 2022 report,https://www.gov.uk/government/publications/evaluation-of-the-modern-electoral-registration-programme-2022-report,2023-04-11T11:42:39Z,research,"Department for Levelling Up, Housing and Communities ",process,unstated
Home Office Evaluation Strategy,https://www.gov.uk/government/publications/home-office-evaluation-strategy,2023-04-05T08:30:03Z,research,Home Office,mixed,unstated
Environmental risk evaluation reports: Per- and polyfluoroalkyl substances (PFAS),https://www.gov.uk/government/publications/environmental-risk-evaluation-reports-per-and-polyfluoroalkyl-substances-pfas,2023-04-03T23:15:00Z,research,Environment Agency,evidence_synthesis,unstated
Process evaluation of Section 28: Evaluating the use of pre-recorded cross-examination for intimidated witnesses,https://www.gov.uk/government/publications/process-evaluation-of-section-28-evaluating-the-use-of-pre-recorded-cross-examination-for-intimidated-witnesses,2023-04-03T08:30:03Z,research,Ministry of Justice,process,unstated
Impact evaluation of Sharing in Growth 2021,https://www.gov.uk/government/publications/impact-evaluation-of-sharing-in-growth-2021,2023-03-31T17:42:02Z,research,Evaluation Task Force,impact,unstated
An evaluation of a brief intervention to reduce substance use amongst men at HMP Holme House,https://www.gov.uk/government/publications/an-evaluation-of-a-brief-intervention-to-reduce-substance-use-amongst-men-at-hmp-holme-house,2023-03-30T09:00:07Z,research,Ministry of Justice,impact,rct
Healthy Identity Intervention: findings from an interim outcome evaluation,https://www.gov.uk/government/publications/healthy-identity-intervention-findings-from-an-interim-outcome-evaluation,2023-03-30T09:00:00Z,research,Ministry of Justice,impact,unstated
Qualitative Evaluation of the Vulnerable Persons Resettlement Scheme (VPRS) and the Vulnerable Children’s Resettlement Scheme (VCRS),https://www.gov.uk/government/publications/qualitative-evaluation-of-the-vulnerable-persons-resettlement-scheme-vprs-and-the-vulnerable-childrens-resettlement-scheme-vcrs,2023-03-30T08:30:00Z,research,Home Office,process,qualitative
Highly pathogenic avian influenza in Great Britain: evaluation and future actions,https://www.gov.uk/government/publications/highly-pathogenic-avian-influenza-in-great-britain-evaluation-and-future-actions,2023-03-30T08:30:00Z,independent_report,Defra's Science Advisory Council,evidence_synthesis,unstated
Process evaluation: transport data projects,https://www.gov.uk/government/publications/process-evaluation-transport-data-projects,2023-03-27T23:15:02Z,research,Department for Transport,process,unstated
HMCTS Reform MOJ Evaluation: Progress Report,https://www.gov.uk/government/publications/hmcts-reform-moj-evaluation-progress-report,2023-03-23T10:00:00Z,research,Ministry of Justice,mixed,unstated
Energy Entrepreneurs Fund Phases 1-7 final evaluation,https://www.gov.uk/government/publications/energy-entrepreneurs-fund-phases-1-7-final-evaluation,2023-03-07T12:29:25Z,research,Department for Energy Security and Net Zero,impact,unstated
Evaluation of Hy4Heat programme,https://www.gov.uk/government/publications/evaluation-of-hy4heat-programme,2023-03-07T12:25:06Z,research,Department for Energy Security and Net Zero,impact,unstated
Evaluation of Phase 2 of the Modern Energy Partners programme,https://www.gov.uk/government/publications/evaluation-of-phase-2-of-the-modern-energy-partners-programme,2023-03-07T12:16:31Z,research,Department for Energy Security and Net Zero,impact,unstated
COVID-19 testing: evaluation of the Automated Workcell,https://www.gov.uk/government/publications/covid-19-testing-evaluation-of-the-automated-workcell,2023-02-27T09:30:05Z,research,UK Health Security Agency,process,unstated
T Level Professional Development programme: evaluation report,https://www.gov.uk/government/publications/t-level-professional-development-programme-evaluation-report,2023-02-23T10:00:07Z,research,Department for Education,impact,unstated
Rail Safety and Standards Board’s research and development programme: evaluation,https://www.gov.uk/government/publications/rail-safety-and-standards-boards-research-and-development-programme-evaluation,2023-02-22T10:03:13Z,independent_report,Department for Transport,impact,unstated
DWP Evaluation Strategy,https://www.gov.uk/government/publications/dwp-evaluation-strategy,2023-02-21T09:30:00Z,research,Department for Work and Pensions,feasibility,unstated
Evaluation of the Provision of Services Regulations 2009,https://www.gov.uk/government/publications/evaluation-of-the-provision-of-services-regulations-2009,2023-02-21T00:00:00Z,research,"Department for Business, Energy & Industrial Strategy; Department for Business and Trade",impact,unstated
Teaching and Leadership Innovation Fund (TLIF) evaluation and project reports,https://www.gov.uk/government/publications/teaching-and-leadership-innovation-fund-tlif-evaluation-and-project-reports,2023-02-14T16:08:14Z,research,Department for Education,impact,unstated
Tampon Tax Fund evaluation design report,https://www.gov.uk/government/publications/tampon-tax-fund-evaluation-design-report,2023-02-10T11:54:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",feasibility,unstated
Youth Investment Fund Phase 2: Impact evaluation feasibility study,https://www.gov.uk/government/publications/youth-investment-fund-phase-2-impact-evaluation-feasibility-study,2023-02-09T15:48:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",feasibility,unstated
Youth Investment Fund: Phase 1 process evaluation,https://www.gov.uk/government/publications/youth-investment-fund-phase-1-process-evaluation,2023-02-09T15:47:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",process,unstated
Developing an evaluation strategy for the compliant environment: Review of internal data and processes,https://www.gov.uk/government/publications/developing-an-evaluation-strategy-for-the-compliant-environment-review-of-internal-data-and-processes,2023-02-09T15:00:01Z,research,Home Office,evidence_synthesis,unstated
Right to Rent scheme: Phase two evaluation,https://www.gov.uk/government/publications/right-to-rent-scheme-phase-two-evaluation,2023-02-09T15:00:00Z,research,Home Office,mixed,unstated
Evaluation of the Audio Content Fund,https://www.gov.uk/government/publications/evaluation-of-the-audio-content-fund,2023-02-09T09:30:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",impact,unstated
"Violence Reduction Units, year ending March 2022 evaluation report",https://www.gov.uk/government/publications/violence-reduction-units-year-ending-march-2022-evaluation-report,2023-02-02T18:00:01Z,research,Home Office,impact,unstated
Local Resilience Forum 2021/22 Funding Pilot evaluation,https://www.gov.uk/government/publications/local-resilience-forum-202122-funding-pilot-evaluation,2023-01-30T14:58:00Z,independent_report,"Department for Levelling Up, Housing and Communities ",impact,unstated
Teacher student loan reimbursement scheme evaluation,https://www.gov.uk/government/publications/teacher-student-loan-reimbursement-scheme-evaluation,2023-01-26T09:30:06Z,research,Department for Education,impact,unstated
Dental contract reform: evaluating the results of the prototype scheme,https://www.gov.uk/government/publications/dental-contract-reform-evaluating-the-results-of-the-prototype-scheme,2023-01-26T09:30:01Z,independent_report,Department of Health and Social Care,process,unstated
Evaluation of the Regulators’ Pioneer Fund (RPF): Round 2,https://www.gov.uk/government/publications/evaluation-of-the-regulators-pioneer-fund-rpf-round-2,2023-01-17T11:03:26Z,research,"Department for Business and Trade; Department for Business, Energy & Industrial Strategy",impact,unstated
Evaluation of the Birmingham 2022 Commonwealth Games – Interim Evaluation Report,https://www.gov.uk/government/publications/evaluation-of-the-birmingham-2022-commonwealth-games-interim-evaluation-report,2023-01-17T00:15:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",impact,unstated
VCSEP evaluation: from COVID-19 response to emergency preparedness,https://www.gov.uk/government/publications/vcsep-evaluation-from-covid-19-response-to-emergency-preparedness,2023-01-13T10:00:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",process,unstated
Probation services officer progression pilot: a process evaluation,https://www.gov.uk/government/publications/probation-services-officer-progression-pilot-a-process-evaluation,2023-01-12T10:00:12Z,research,Ministry of Justice; HM Prison and Probation Service,process,unstated
"Safer Streets Fund evaluation: Round 1, year ending March 2021",https://www.gov.uk/government/publications/safer-streets-fund-evaluation-round-1-year-ending-march-2021,2023-01-11T09:30:01Z,research,Home Office,impact,unstated
Volunteering Futures Fund evaluation: feasibility study,https://www.gov.uk/government/publications/volunteering-futures-fund-evaluation-feasibility-study,2023-01-10T14:25:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",feasibility,unstated
Corporate Insolvency and Governance Act 2020 evaluation reports,https://www.gov.uk/government/publications/corporate-insolvency-and-governance-act-2020-evaluation-reports,2022-12-19T12:09:05Z,research,The Insolvency Service,mixed,unstated
Evaluation of the Industrial Masters in AI (IMAI) programme,https://www.gov.uk/government/publications/evaluation-of-the-industrial-masters-in-ai-imai-programme,2022-12-16T14:51:00Z,research,"Department for Science, Innovation and Technology; Office for Artificial Intelligence; Department for Digital, Culture, Media & Sport; Department for Business, Energy & Industrial Strategy",process,unstated
Evaluation of local authority support on children’s social care services,https://www.gov.uk/government/publications/evaluation-of-local-authority-support-on-childrens-social-care-services,2022-12-15T10:00:06Z,research,Department for Education,impact,unstated
Evaluation of the adoption support fund 2018 to 2022,https://www.gov.uk/government/publications/evaluation-of-the-adoption-support-fund-2018-to-2022,2022-12-15T10:00:05Z,research,Department for Education,mixed,mixed_methods
National evaluation of e-scooter trials report,https://www.gov.uk/government/publications/national-evaluation-of-e-scooter-trials-report,2022-12-15T00:00:00Z,research,Department for Transport,impact,unstated
Natural Flood Management Programme: evaluation report,https://www.gov.uk/government/publications/natural-flood-management-programme-evaluation-report,2022-12-08T17:00:00Z,research,Environment Agency,process,unstated
Daily testing of contacts of COVID-19 cases: evaluation,https://www.gov.uk/government/publications/daily-testing-of-contacts-of-covid-19-cases-evaluation,2022-12-05T09:30:04Z,research,UK Health Security Agency,impact,unstated
Taking Teaching Further: process evaluation and feasibility study,https://www.gov.uk/government/publications/taking-teaching-further-process-evaluation-and-feasibility-study,2022-11-24T12:00:53Z,research,Department for Education,mixed,unstated
Evaluation of the employer support fund pilots,https://www.gov.uk/government/publications/evaluation-of-the-employer-support-fund-pilots,2022-11-24T10:08:52Z,research,Department for Education,mixed,unstated
EdTech Demonstrator programme evaluation for 2021 to 2022,https://www.gov.uk/government/publications/edtech-demonstrator-programme-evaluation-for-2021-to-2022,2022-11-24T10:00:00Z,research,Department for Education,impact,unstated
DLUHC evaluation strategy,https://www.gov.uk/government/publications/dluhc-evaluation-strategy,2022-11-18T09:30:00Z,research,"Department for Levelling Up, Housing and Communities ",unclear,unstated
Creative Industry Tax Reliefs Evaluation,https://www.gov.uk/government/publications/creative-industry-tax-reliefs-evaluation,2022-11-17T09:30:04Z,research,HM Revenue & Customs,economic,economic_model
National leaders of governance reform: evaluation,https://www.gov.uk/government/publications/national-leaders-of-governance-reform-evaluation,2022-11-12T09:00:03Z,research,Department for Education,impact,unstated
Herpes zoster (shingles) immunisation programme 2021 to 2022: evaluation reports,https://www.gov.uk/government/publications/herpes-zoster-shingles-immunisation-programme-2021-to-2022-evaluation-reports,2022-11-11T13:30:01Z,research,UK Health Security Agency,impact,unstated
COVID-19: LFD digital reader evaluation,https://www.gov.uk/government/publications/covid-19-lfd-digital-reader-evaluation,2022-11-03T16:08:29Z,research,UK Health Security Agency,economic,unstated
COVID-19 outreach programmes to migrant workers: evaluating VCSOs role,https://www.gov.uk/government/publications/covid-19-outreach-programmes-to-migrant-workers-evaluating-vcsos-role,2022-11-03T15:08:32Z,research,UK Health Security Agency,impact,unstated
National Tutoring Programme year 2: implementation and process evaluation,https://www.gov.uk/government/publications/national-tutoring-programme-year-2-implementation-and-process-evaluation,2022-10-26T11:08:59Z,research,Department for Education,process,unstated
LFFN Wave 1 Interim Evaluation Schools Project,https://www.gov.uk/government/publications/lffn-wave-1-interim-evaluation-schools-project,2022-10-17T10:51:03Z,research,Building Digital UK,feasibility,unstated
National Evaluation of the Male OPD Pathway,https://www.gov.uk/government/publications/national-evaluation-of-the-male-opd-pathway,2022-10-13T09:22:00Z,research,Ministry of Justice; HM Prison and Probation Service,mixed,unstated
An Evaluation of Shared Reading in PIPEs,https://www.gov.uk/government/publications/an-evaluation-of-shared-reading-in-pipes,2022-10-13T09:22:00Z,research,Ministry of Justice; HM Prison and Probation Service,impact,unstated
Evaluation of Psychologically Informed Planned Environments,https://www.gov.uk/government/publications/evaluation-of-psychologically-informed-planned-environments,2022-10-13T09:21:36Z,research,Ministry of Justice; HM Prison and Probation Service,impact,unstated
The Coronavirus Job Retention Scheme interim evaluation,https://www.gov.uk/government/publications/the-coronavirus-job-retention-scheme-interim-evaluation,2022-10-12T23:15:00Z,research,HM Revenue & Customs; HM Treasury,economic,unstated
The Self-Employment Income Support Scheme interim evaluation,https://www.gov.uk/government/publications/the-self-employment-income-support-scheme-interim-evaluation,2022-10-12T23:15:00Z,research,HM Revenue & Customs; HM Treasury,economic,unstated
First-tier Tribunal (Immigration and Asylum Chamber) Reform: Interim process evaluation,https://www.gov.uk/government/publications/first-tier-tribunal-immigration-and-asylum-chamber-reform-interim-process-evaluation,2022-10-04T11:00:00Z,research,HM Courts & Tribunals Service,process,unstated
Evaluation of the Mutual Support Programme 2,https://www.gov.uk/government/publications/evaluation-of-the-mutual-support-programme-2--2,2022-08-31T15:12:45Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",process,unstated
Evaluation of BDUK Gigabit Vouchers: Initial Impacts and Benefits,https://www.gov.uk/government/publications/evaluation-of-bduk-gigabit-vouchers-initial-impacts-and-benefits--2,2022-08-30T14:22:00Z,research,"Department for Science, Innovation and Technology; Building Digital UK; Department for Digital, Culture, Media & Sport",impact,unstated
An evaluation of the Controlling Migration Fund Programme,https://www.gov.uk/government/publications/an-evaluation-of-the-controlling-migration-fund-programme,2022-08-18T09:15:06Z,research,"Department for Levelling Up, Housing and Communities ",mixed,unstated
An evaluation of the ESOL for Integration Fund,https://www.gov.uk/government/publications/an-evaluation-of-the-esol-for-integration-fund,2022-08-18T09:15:06Z,research,"Department for Levelling Up, Housing and Communities ",mixed,unstated
Evaluation of the Integration Areas Programme,https://www.gov.uk/government/publications/evaluation-of-the-integration-areas-programme,2022-08-18T09:15:00Z,research,"Department for Levelling Up, Housing and Communities ",process,unstated
Evaluation of the potential approaches to risk assessment of unintentional chemical mixtures for future UK REACH assessments,https://www.gov.uk/government/publications/evaluation-of-the-potential-approaches-to-risk-assessment-of-unintentional-chemical-mixtures-for-future-uk-reach-assessments,2022-08-17T08:30:00Z,research,Environment Agency; UK Health Security Agency,feasibility,unstated
Affordable Homes Programme 2021-2026: evaluation scoping report,https://www.gov.uk/government/publications/affordable-homes-programme-2021-2026-evaluation-scoping-report,2022-08-08T11:00:22Z,research,"Department for Levelling Up, Housing and Communities ",feasibility,unstated
Evaluation of the level 3 free courses for jobs offer,https://www.gov.uk/government/publications/evaluation-of-the-level-3-free-courses-for-jobs-offer,2022-07-21T14:38:14Z,research,Department for Education,impact,unstated
Evaluation of roads reform,https://www.gov.uk/government/publications/evaluation-of-roads-reform,2022-07-19T10:52:00Z,research,Department for Transport,process,unstated
Regional Growth Fund: evaluation,https://www.gov.uk/government/publications/regional-growth-fund-evaluation,2022-07-15T14:59:39Z,research,"Department for Business and Trade; Department for Business, Energy & Industrial Strategy",economic,unstated
Evaluation of the Future Borders and Immigration System: Early insights research with graduates,https://www.gov.uk/government/publications/evaluation-of-the-future-borders-and-immigration-system-early-insights-research-with-graduates,2022-07-15T08:30:00Z,research,Home Office,evidence_synthesis,unstated
